9
shah Latif Town,24.85,67.26,26
Quidabad,27.25,68.21,29
Malir,24.9,67.19,104
Korangi,8.9,8.15,0.3
Shahr-e-faisal,24.9,67.6,25
karsaz,24.89,67.09,39
stadium,24.9,67.08,45
hassan square,24.9,67.07,43
Nazimabad,24.91,67.03,50
10
shah Latif Town,24.85,67.26,26
Quidabad,27.25,68.21,29
Malir,24.9,67.19,104
Korangi,8.9,8.15,0.3
karsaz,24.89,67.09,39
stadium,24.9,67.08,45
Expocentre,24.89,67.07,47
Ayesha manzil,24.93,67.06,52
five star,24.95,67.05,49
Nazimabad,24.91,67.03,50
10
shah latif ,24.85,67.26,26
portqasim,24.76,67.3,226
M9 motorway,25.2,65.28,110
Malir,24.9,67.19,104
Drig Road,24.89,67.13,102
Johar,24.92,67.12,97
Nipa,24.92,67.09,83
Ayesha manzil,24.93,67.06,52
Five star,24.95,67.05,49
Nazimabad,24.91,67.03,50
7
shah latif ,24.85,67.26,26
portqasim,24.76,67.3,226
M9 motorway,25.2,65.28,110
Sohrab goth,24.94,67.09,75
FB Area,24.93,67.08,55
Liaquatabad,24.9,6.04,48
Nazimabad,24.91,67.03,50
6
shah latif ,24.85,67.26,26
portqasim,24.76,67.3,226
M9 motorway,25.2,65.28,110
Lyari Express way,24.95,6.09,72
Liaquatabad,24.9,6.04,48
Nazimabad,24.91,67.03,50
8
shah latif ,24.85,67.26,26
Quidabad,27.25,68.21,29
Malir,25.2,65.28,110
shahr e faisal,24.9,67.6,25
Bahadurabad,24.88,67.07,32
jail churangi,24.89,67.06,40
hassan square,24.9,67.07,43
Nazimabad,24.91,67.03,50
8
shah latif ,24.85,67.26,26
Quidabad,27.25,68.21,29
Malir,25.2,65.28,110
Millenium Mall,24.9,67.11,73
University road,24.91,67.09,60
Hassan Square,24.9,67.07,43
Liaquatabad,24.9,6.04,48
Nazimabad,24.91,67.03,50
8
shah latif ,24.85,67.26,26
Quidabad,27.25,68.21,29
Malir,25.2,65.28,110
Millenium Mall,24.9,67.11,73
Stadium ,24.9,67.08,45
Expocenter,24.89,67.07,47
Liaquatabad,24.9,6.04,48
Nazimabad,24.91,67.03,50
